id,account_balance,data_plan,last_month_expense,lifetime,age,avg_delta_expense,gender,expense_variance,label
1,0,0,22,57,30,12,1,446.5998602931059,0
2,20,0,0,57,40,0,1,0.003692810541176471,0
3,19,0,5,57,20,3,1,10.40802134467647,0
4,3,0,5,57,50,6,1,67.13920952454706,0
5,162,0.5,144,57,20,16,1,1031.0312418301294,0
6,-14,0,5,57,20,29,1,2360.684049232294,1
7,81,0,0,57,40,0,1,0.12671744584117645,0
8,0,0,44,57,30,4,1,106.70785002899999,0
9,19,0,0,57,20,15,1,591.2729836342705,1
10,13,0,9,57,30,3,1,70.07029360978235,0
11,10,0,19,57,30,12,1,191.17268525458235,0
12,6,0,5,57,30,5,1,77.47108091193529,0
13,39,0,6,57,30,15,1,622.7052032780881,0
15,24,0,0,57,50,0,1,1.0814379085294115,1
16,44,0,5,57,30,4,2,31.504314590664716,0
17,89,0,11,57,30,3,2,26.996851665611768,0
18,23,0,6,57,30,3,1,9.788235294117646,0
20,19,0,0,57,30,0,1,4.886424397164707,1
21,23,0,30,57,50,17,1,379.8209361863294,0
22,15,0,3,57,40,2,1,16.244528989188233,0
23,80,0,0,57,20,0,1,0.020195191241176476,1
24,28,0,0,57,40,0,1,3.3821405489411767,1
25,51,0,5,57,20,2,1,23.866869429647057,0
26,20,0,96,57,20,24,2,734.3740392037412,0
27,31,0,0,57,30,2,1,24.314013938276467,0
28,-12,0,0,57,30,0,1,0.0046228150235294125,1
29,-3,0,5,57,30,0,1,0.3368782797588235,1
30,9,0,0,57,20,3,1,50.466379349,1
31,2,30,49,57,30,38,1,3913.1664095247065,0
32,46,0,9,57,30,9,1,134.9427942226059,0
33,19,0,5,57,20,1,1,4.167319041252944,0
34,45,0,11,57,20,2,1,12.70534833578235,0
35,0,0,0,57,40,0,1,4.461868963747058,1
36,36,0,7,57,40,2,1,10.030173061370588,0
37,35,0.5,11,57,30,6,1,61.84588235298822,0
38,234,0,0,57,30,0,1,8.932712418364705,1
39,8,0,5,57,30,3,2,16.072216948952942,0
40,-1,0,5,57,60,5,1,90.31950451024707,1
41,213,0,18,57,20,1,1,8.464818037517647,0
42,5,0,0,57,30,0,1,3.0566490482999997,1
43,7,0,1,57,30,0,1,0.30184300699411765,0
44,48,0,1,57,30,1,2,2.822043947035294,0
45,538,0,32,57,30,3,1,119.69349673204707,0
46,69,0,7,57,30,0,1,0.34438474642352945,0
47,81,0,0,57,30,1,1,2.907712418305881,1
48,80,0,0,57,40,0,1,0.0022222222235294123,1
49,164,0,0,57,30,0,1,0.1202506144,1
52,10,0,0,57,20,0,1,5.818273941176471E-4,1
53,83,0,1,57,20,0,1,0.18349576637647058,0
54,11,0,5,57,30,11,1,815.5819017538879,0
55,33,0,5,57,30,0,1,0.11972484292941174,0
56,63,3,22,57,30,8,1,129.26699059090583,0
57,35,0,7,57,40,2,2,13.850034067223529,0
58,20,30,49,57,20,4,1,33.94047087195294,0
59,83,0,5,57,20,0,1,0.20696535294705876,0
60,12,0,0,57,30,0,1,1.0699651941823536,0
61,67,0,0,57,20,34,1,1705.5908817214058,1
62,42,0,0,57,30,0,1,1.4718210974823531,1
63,12,0,3,57,30,4,1,150.44165862203525,0
64,19,0,2,57,30,0,1,1.4318537785941177,0
65,25,0,5,57,30,5,1,110.06214177341764,0
66,15,0,0,57,30,1,1,6.476361243011764,1
67,74,0,0,57,40,0,1,0.09454343558823528,0
68,3,0,5,57,50,1,2,4.418552854623529,0
69,88,0,9,57,20,5,1,130.67801894516472,0
70,32,0,0,57,60,1,1,7.670240976494119,1
71,-3,0,0,57,40,2,1,14.009731705823532,1
72,18,0,0,57,30,0,1,0.014888480482352936,1
73,61,0,0,57,30,1,1,5.555555555588239,1
74,35,0,5,57,30,0,1,2.199481930423529,0
75,35,0,1,57,30,1,1,6.8836928104588235,1
76,-1,0,0,57,30,0,2,3.9822222222235304,1
77,79,0,20,57,30,11,1,187.37019258710004,0
78,0,30,59,57,20,19,2,373.0956543443706,0
79,61,10,31,57,30,46,1,8864.993855778928,0
80,99,0,0,57,50,0,1,1.325211969505882,0
81,46,0,8,57,20,3,1,23.049829508147063,0
82,3,0,0,57,30,0,1,2.0436447058823533E-5,0
84,33,0,5,57,30,1,1,3.7937548543,0
85,65,0,27,57,40,47,1,3568.7273425802537,0
86,5,0.5,6,57,50,2,2,20.174673202647075,0
87,24,0,37,57,30,4,1,66.50649214395294,0
89,61,0,0,57,60,0,2,0.22553104375882357,0
90,5,0,13,57,30,3,1,9.082989682582355,0
91,49,0,0,58,40,0,1,0.08391778004705887,0
93,30,0.5,6,43,30,1,1,3.2189869281058816,0
94,45,0,56,21,20,3,1,22.548104575164707,0
95,6,0,19,21,10,7,2,135.4825163398706,0
96,5,0,12,21,30,6,2,65.87941328967648,0
98,0,0,6,20,30,23,2,494.0107014028,1
99,-6,10,0,19,20,10,1,616.4823196699589,1
