id,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_13,month_14,month_15,month_16,month_17,month_18
1,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,55,27,74,20,21,52,16,18,17,25,9,91,69,18,62,24,9,1
4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5,0,0,0,0,4096,2053,19209,12883,9153,6282,26172,16132,17287,13567,20992,14468,7335,60191
6,0,0,15,35,0,13,101,0,0,31,114,239,422,133,2095,111,12,2
7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
8,35,16,41,72,33,45,24,17,12,0,0,20,0,0,36,89,48,438
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,0,0
10,234,223,87,0,3,2,62,6,0,3,0,2,2,0,0,0,0,28
11,80,296,5,0,25,0,0,178,0,0,5,0,447,204,81,236,280,134
12,18,23,78,106,0,0,0,0,0,0,0,1,124,0,0,0,0,0
13,32,80,0,55,0,120,0,143,1058,3,0,0,0,0,0,0,0,0
14,0,0,5,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,8,0,0,0,7,184,30,0,90,0,0,154,19,1,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,41,16,17,16,0,0,39,0,5,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,8,4,0,1,0,0,0,0,6,1,0,0
21,18,13,65,18,33,1,6,6,0,0,6,4,240,0,302,79,789,189
22,3,10,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,8,0,24,0,0,0,0,0,0,0,0,0,0,110,110,0,0,0
26,137,114,172,488,313,253,215,1163,360,191,478,118,157,208,117,285,219,527
27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,2,0,0
30,0,0,0,0,0,0,2,0,0,54,0,0,0,0,0,231,205,0
31,5165,5458,4738,4867,3532,4291,1310,1130,61,18159,39759,26833,39096,158986,32325,14249,32877,8143
32,10,23,34,90,18,22,6,0,81,142,84,235,9,0,0,24,466,38
33,0,0,0,0,0,0,0,2,35,0,80,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2061,11,0,0,39,756,2914,332,0,0,0,0,0,0,1607,426,0,241
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,80,4,11,0,0,10,159,5,13,40,2,1,0,0,1,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
42,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1063,0,0,31,467,1116,4708,0,0,68,419,0,51,0,0,0,0,0
46,0,0,0,0,0,0,1,0,1,4,5,3,0,0,0,0,10,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,7,182,65,0,6,5,9,2596,0,1691,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,5,0,12,0,5,0,0,0
56,39,166,167,175,176,131,94,115,150,160,173,165,46,0,80,228,687,806
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,4498,3522,3786,5140,2323,5320,1268,5748,11132,10215,13678,16526,9235,125,6709,373,8282,24638
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,43,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
61,0,0,874,0,0,0,0,0,207,2,1557,0,1,0,0,60,309,2
62,0,0,0,0,0,0,0,0,1,35,39,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,9,0,0,3,2,25,13,0,0,0,43,24
65,0,0,0,0,0,0,0,0,0,385,76,0,0,0,0,0,0,0
66,1,0,0,0,0,48,2,0,0,0,0,0,0,0,0,10,0,0
67,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
