id,call_count_per_day,avg_duration,number_count,rate,day_gap,first_cellId_percent,city_count,first_city_percent,province_count,label
1,2,278,115,18.513044,1688,10,7,68,7,0
2,2,114,49,10.67347,1682,0,7,90,7,0
3,1,160,103,5.223301,1686,1,6,96,6,0
4,4,98,165,38.47273,1666,3,8,95,8,0
5,2,125,174,12.431034,1687,8,5,87,5,0
6,3,108,312,3.1730769,1664,15,12,95,12,0
7,1,43,20,5.65,1685,9,1,100,1,0
8,1,224,146,5.547945,1688,3,10,57,10,0
9,1,205,26,25.5,1575,2,5,62,5,0
10,2,123,256,4.7304688,1686,3,8,57,8,0
11,1,87,53,11.320755,1688,4,3,98,3,0
12,2,176,190,8.042106,1684,1,22,64,22,0
13,1,74,155,2.3290322,1686,8,12,66,12,0
14,1,134,82,1.9390244,1488,0,11,87,11,0
15,1,118,214,2.7990654,1442,0,10,50,10,0
16,1,71,18,16.5,1687,4,3,98,3,0
17,2,90,220,8.909091,1686,24,6,77,6,0
18,1,672,18,9.5,1668,4,5,39,5,0
19,1,292,50,6.92,1405,2,3,51,3,0
20,2,109,228,1.7017543,1678,0,14,57,14,0
21,2,108,260,9.823077,1686,4,14,85,14,0
22,1,92,56,6.678571,1686,7,3,97,3,0
23,2,225,34,19.470589,1625,0,4,93,4,0
24,2,38,32,53.875,1656,2,3,96,3,0
25,1,187,130,3.5692308,1666,0,5,61,5,0
26,5,118,113,73.77876,1688,11,7,91,7,0
27,1,308,22,19.5,1641,7,4,99,4,0
28,1,146,20,9.25,1577,1,5,87,5,0
29,1,233,117,5.786325,1607,4,5,73,5,0
30,1,135,65,1.5692308,1597,0,17,56,17,0
31,4,74,385,9.374026,1687,0,53,46,19,0
32,1,50,166,4.3554215,1681,7,9,87,9,0
33,1,103,49,2.5714285,1671,3,4,88,4,0
34,1,207,118,11.830508,1677,5,7,57,7,0
35,1,280,38,7.0263157,1598,0,8,39,8,0
36,2,109,372,4.927419,1678,4,20,35,20,0
37,1,290,50,12.18,1683,1,3,57,3,0
38,4,52,85,1.1882353,1617,0,27,17,27,0
39,2,269,239,6.1046023,1681,3,20,63,20,0
40,3,138,258,13.488372,1624,2,13,48,13,0
41,2,119,122,8.557377,1687,11,10,52,10,0
42,3,206,161,2.9440994,1681,0,6,98,6,0
43,2,105,194,6.2216496,1685,3,10,75,10,0
44,1,277,81,11.679012,1679,8,10,46,10,0
45,4,119,469,11.307036,1687,0,50,70,20,0
46,2,187,101,3.8316832,1647,3,10,85,10,0
47,4,118,502,1.4083666,1553,1,12,86,12,0
48,1,95,36,2.0833333,1405,1,1,100,1,0
49,1,62,48,1.3958334,1474,2,13,40,13,0
50,2,150,137,9.058394,1455,0,10,49,10,0
51,1,142,79,10.810126,1385,7,4,66,4,0
52,2,268,64,3.875,1429,0,2,99,2,0
53,1,32,16,7.1875,1678,25,2,93,2,0
54,20,30,12338,1.6214135,1682,1,29,89,29,0
55,1,23,11,1.8181819,1686,10,3,85,3,0
56,2,123,264,12.409091,1686,4,7,66,7,0
57,3,112,460,4.1826086,1682,7,14,54,14,0
58,1,183,129,6.891473,1662,0,15,35,5,0
59,1,155,7,13.428572,1645,15,2,82,2,0
60,2,49,87,9.1494255,1685,0,5,96,5,0
61,2,108,70,2.8,1683,2,9,48,9,0
62,2,56,72,2.5277777,1478,2,6,97,6,0
63,2,261,61,11.885246,1686,29,5,60,5,0
64,2,166,87,5.390805,1663,1,7,71,7,0
65,1,90,55,11.763637,1682,4,4,95,4,0
66,1,43,32,18.75,1550,0,4,97,4,0
67,3,113,28,2.4642856,1654,0,3,68,3,0
68,1,127,14,49.57143,1685,5,1,100,1,0
69,6,59,431,17.700697,1684,8,17,88,17,0
70,2,382,70,4.385714,1369,2,6,42,6,0
71,1,46,49,8.979591,1468,15,4,98,4,0
72,1,218,50,8.72,1446,0,6,89,6,0
73,1,221,5,13.4,1512,0,2,98,2,0
74,5,125,368,5.6059785,1676,0,17,63,17,0
75,1,603,32,17.65625,1683,0,4,98,4,0
76,2,53,18,13.888889,1504,0,2,94,2,0
77,2,118,112,17.803572,1680,2,9,71,9,0
78,2,197,312,9.705129,1685,0,33,67,17,0
79,2,86,105,3.352381,1684,41,5,96,5,0
80,1,164,39,4.923077,1659,7,2,95,2,0
81,1,232,231,3.7056277,1683,5,14,65,14,0
82,1,259,45,4.422222,1588,0,4,74,4,0
83,3,344,196,13.933674,1407,0,6,91,6,0
84,1,122,67,7.0895524,1679,4,6,50,6,0
85,12,95,1240,13.603226,1683,3,29,41,29,0
86,1,203,118,7.059322,1682,0,5,74,5,0
87,1,147,60,8.033334,1682,7,4,74,4,0
88,1,106,168,6.571429,1477,1,8,59,8,0
89,1,138,66,7.6666665,1678,0,8,73,8,0
90,1,191,52,15.307693,1682,3,4,97,4,0
91,1,132,39,4.5384617,1604,0,10,54,10,1
92,3,89,461,7.7418656,1487,1,20,55,20,1
93,2,74,318,3.5157232,1265,4,25,91,25,1
94,1,142,103,3.9805825,571,22,6,85,6,1
95,1,104,25,3.24,574,22,6,77,6,1
96,3,111,291,1.3298969,550,25,17,86,17,1
97,44,59,3539,1.3164736,240,36,31,14,31,1
98,4,110,87,1.5632184,530,54,17,30,17,1
99,1,56,11,2.1818182,372,12,3,70,3,1
100,2,141,70,1.6857142,361,11,13,55,13,1
